id,spp,plot,subplot,gm.trt,tg,vpdg,ig,imaxg,z,d13c,total_c,d15n,total_n,sample_weight_mg,nmass,cmass,leaf_cn,leaf_area_cm2,dry_biomass_g,sla_cm2g,lma_gm2,chi,beta
4582,Tri,6,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.65,890,-2.83,58.07,2.096,0.027704981,0.424618373,15.326427,,,,#DIV/0!,0.885972901,1.269803131
7240,Mai,NA,NA,NA,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.79,1009.56,-1.24,34.13,2.297,0.014856996,0.439510397,29.58272266,,,,#DIV/0!,0.986368141,110.3111549
4722,Mai,6,8,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32,1150.85,-0.45,56.61,2.736,0.020690177,0.420631571,20.33001342,,,,#DIV/0!,0.90236232,1.797093807
5229a,Tri,NA,NA,NA,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.13,1136.36,-1.53,75.27,2.762,0.027251347,0.41142521,15.09742657,,,,#DIV/0!,0.908452837,2.072080407
4745,Tri,6,12,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.43,1241.42,-1.83,83.25,2.98,0.027935993,0.416583944,14.91208626,,,,#DIV/0!,0.875677043,1.043305324
4781,Mai,5,23,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.52,779.02,-0.38,16.1,1.906,0.00844638,0.408719179,48.38986243,,,,#DIV/0!,0.926734211,3.367746586
5229b,Tri,NA,NA,NA,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.86,900.87,-1.3,61.1,2.14,0.028553591,0.420966715,14.74303947,,,,#DIV/0!,0.942683848,5.695438135
9145,Tri,4,3,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.17,821.17,0.04,43.91,2.144,0.020478594,0.383006183,18.70275814,,,,#DIV/0!,0.957235941,10.55195813
989,Tri,4,13,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.83,1060.28,-1.82,77.29,2.543,0.030393859,0.41693897,13.71786895,,,,#DIV/0!,0.894400265,1.509101222
4942,Tri,3,27,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.45,973.33,0.54,65.49,2.393,0.027366751,0.406739035,14.86252537,,,,#DIV/0!,0.876612837,1.061474844
4959,Tri,5,22,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.8,937.1,0.11,54.58,2.284,0.023898845,0.410287934,17.16768905,,,,#DIV/0!,0.892995487,1.465086253
4990,Tri,5,22,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.61,1031.29,-1.22,61.78,2.514,0.024574041,0.410219851,16.69321931,,,,#DIV/0!,0.884100579,1.223875053
5025,Mai,6,11,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.89,1127.63,-1.17,50.08,2.676,0.018715031,0.421385779,22.51590049,,,,#DIV/0!,0.897210083,1.602839387
