"id","spp","plot","subplot","doy","Vcmax","Jmax","Rd","TPU","leaf_length_cm","stem_length_cm"
"1021","Mai","3","24","127","47.7761435079718","80.9462720475837","1.83628166982509","5.3017426462394","11.9","39.4"
"543","Mai","3","30","127","39.1527105334497","65.3444400669602","0.746491008496428","4.43559929160968","13.6","37.6"
"TT24_202","Mai","3","36","127","50.8416532372427","87.6957570107625","2.78480480838978","5.36663743990907","9.1","15.7"
"2268","Mai","3","18","127","41.8370605239262","72.3841103387661","1.46035605939701","5.04683146552031","11.2","25.7"
"5069","Mai","3","24","127","41.9965800834391","69.8109726582503","1.30009505098279","4.91230766287334","13.2","36.5"
"5030","Mai","3","24","127","56.5034620161035","93.4743288603632","3.39467860691099","5.92374835111394","12.3","34.4"
"6876","Mai","3","18","127","36.4695161692705","68.3020209207547","1.1330359944413",NA,"7.2","12.9"
"129","Mai","3","18","127","34.2450678395786","61.0920126168397","1.37344212811445","4.4192890797308","8.8","16.4"
"3643","Mai","3","12","127","48.3576864468173","80.7446264634252","1.90004120432929","5.33469578987137","8.9","17.4"
"2416","Tri","3","17","127","49.6094284379399","95.7993477784737","2.13761235431237",NA,"13.1",NA
"TT24_201","Mai","3","35","127","48.9461890160594","89.0074684448214","2.74149908607828","5.73231257949278","10.1","23.6"
"TT24_203","Mai","3","34","127","55.7744345658502","97.5973913956784","3.9053270575044","6.51112370766725","11.1","17.5"
"TT24_204","Mai","3","35","127","59.0880657787837","102.737342400645","4.2898914584184","6.39723408776037","14.2","38.1"
"TT24_103","Mai","3","32","127","60.1944033039973","106.690316515039","4.89423418663138","6.87473426483501","15.6","59"
"TT24_101","Mai","3","33","127","58.0632233875294","105.29945902921","3.62087092101953","6.81809360125751","13","31.8"
"TT24_102","Mai","3","32","127","42.8739532662732","78.7398843293998","3.01313289551128",NA,"9.5","19.1"
"452","Tri","3","22","127","50.4465570151331","99.2000013622466","2.69085334790498",NA,"11.2",NA
"54","Mai","3","16","127","58.6299614398763","105.5356713204","5.50957060901087","7.10523243631707","13.8","30.6"
"916","Tri","3","16","127","58.0100422062849","99.703077068541","3.48135790434115",NA,"16",NA
"TT24_104","Mai","6","33","128","54.9128587508655","93.038563162805","2.87753017961525","5.9231420879261","20.1","64.6"
"TT24_105","Mai","6","27","128","55.5575156399428","94.2362342996722","2.99905862241074","6.24050976478016","18.3","55.4"
"TT24_106","Mai","6","27","128","62.7398512793775","104.590770463395","2.87952699551314","6.99227277423011","11.6","21.3"
"2801","Mai","6","20","128","51.6120603359185","85.3750459016769","2.83183836533011","6.10536731612424","15.5","48.3"
"2692","Mai","6","21","128","66.6417448533392","102.767391226512","2.79273717038944","6.29669958471949","17.7","58.2"
